Polygenic Score (PGS) ID,Stage of PGS Development,Number of Individuals,Number of Cases,Number of Controls,Percent of Participants Who are Male,Sample Age,Broad Ancestry Category,"Ancestry (e.g. French, Chinese)",Country of Recruitment,Additional Ancestry Description,Phenotype Definitions and Methods,Followup Time,GWAS Catalog Study ID (GCST...),Source PubMed ID (PMID),Source DOI,Cohort(s),Additional Sample/Cohort Information
PGS000360,Source of Variant Associations (GWAS),361194.0,159.0,361035.0,,,European,,,,UKB GWAS (ICD10-based phenotype): C32,,,,http://www.nealelab.is/uk-biobank/,,
PGS000360,Score Development/Training,1908.0,174.0,1734.0,,,European,,USA,,"PheCode:149.4; ICD9CM:161.0, 161.1, 161.2, 161.3, 161.8, 161.9, 231.0, V10.21; ICD10CM:C32, C32.0, C32.1, C32.2, C32.3, C32.8, C32.9, D02.0",,,32991828,,MGI,
PGS000361,Source of Variant Associations (GWAS),361194.0,205.0,360989.0,,,European,,,,UKB GWAS (FINNGEN-based phenotype): C3_LARYNX,,,,http://www.nealelab.is/uk-biobank,,
PGS000361,Score Development/Training,1908.0,174.0,1734.0,,,European,,USA,,"PheCode:149.4; ICD9CM:161.0, 161.1, 161.2, 161.3, 161.8, 161.9, 231.0, V10.21; ICD10CM:C32, C32.0, C32.1, C32.2, C32.3, C32.8, C32.9, D02.0",,,32991828,,MGI,
PGS000362,Source of Variant Associations (GWAS),407079.0,258.0,406821.0,,,European,,,,ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/; UKB GWAS (PheCode-based phenotype): X149.4,,,32424355,,,
PGS000362,Score Development/Training,1908.0,174.0,1734.0,,,European,,USA,,"PheCode:149.4; ICD9CM:161.0, 161.1, 161.2, 161.3, 161.8, 161.9, 231.0, V10.21; ICD10CM:C32, C32.0, C32.1, C32.2, C32.3, C32.8, C32.9, D02.0",,,32991828,,MGI,
PGS000363,Source of Variant Associations (GWAS),361194.0,519.0,360675.0,,,European,,,,UKB GWAS (ICD10-based phenotype): C15,,,,http://www.nealelab.is/uk-biobank/,,
PGS000363,Score Development/Training,2090.0,190.0,1900.0,,,European,,USA,,"PheCode:150; ICD9CM:150.0, 150.1, 150.2, 150.3, 150.4, 150.5, 150.8, 150.9, 230.1, V10.03; ICD10CM:C15, C15.3, C15.4, C15.5, C15.8, C15.9, D00.1",,,32991828,,MGI,
PGS000364,Source of Variant Associations (GWAS),361194.0,519.0,360675.0,,,European,,,,UKB GWAS (ICD10-based phenotype): C15,,,,http://www.nealelab.is/uk-biobank/,,
PGS000364,Score Development/Training,2090.0,190.0,1900.0,,,European,,USA,,"PheCode:150; ICD9CM:150.0, 150.1, 150.2, 150.3, 150.4, 150.5, 150.8, 150.9, 230.1, V10.03; ICD10CM:C15, C15.3, C15.4, C15.5, C15.8, C15.9, D00.1",,,32991828,,MGI,
PGS000365,Source of Variant Associations (GWAS),361194.0,497.0,360697.0,,,European,,,,UKB GWAS (FINNGEN-based phenotype): C3_OESOPHAGUS,,,,http://www.nealelab.is/uk-biobank,,
PGS000365,Score Development/Training,2090.0,190.0,1900.0,,,European,,USA,,"PheCode:150; ICD9CM:150.0, 150.1, 150.2, 150.3, 150.4, 150.5, 150.8, 150.9, 230.1, V10.03; ICD10CM:C15, C15.3, C15.4, C15.5, C15.8, C15.9, D00.1",,,32991828,,MGI,
PGS000366,Source of Variant Associations (GWAS),394092.0,720.0,393372.0,,,European,,,,ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/; UKB GWAS (PheCode-based phenotype): X150,,,32424355,,,
PGS000366,Score Development/Training,2090.0,190.0,1900.0,,,European,,USA,,"PheCode:150; ICD9CM:150.0, 150.1, 150.2, 150.3, 150.4, 150.5, 150.8, 150.9, 230.1, V10.03; ICD10CM:C15, C15.3, C15.4, C15.5, C15.8, C15.9, D00.1",,,32991828,,MGI,
PGS000367,Source of Variant Associations (GWAS),63920.0,34869.0,29051.0,,,European,,,,,,,30510241,,,
PGS000367,Score Development/Training,6445.0,589.0,5856.0,,,European,,USA,,"PheCode:153; ICD9CM:153.0, 153.1, 153.2, 153.3, 153.4, 153.5, 153.6, 153.7, 153.8, 153.9, 154.0, 154.1, 154.2, 154.3, 154.8, 159.0, 209.10, 209.11, 209.12, 209.13, 209.14, 209.15, 209.16, 209.17, 230.3, 230.4, 230.5, 230.6, 796.70, 796.71, 796.72, 796.73, 796.74, 796.76, V10.05, V10.06; ICD10CM:C18, C18.0, C18.1, C18.2, C18.3, C18.4, C18.5, C18.6, C18.7, C18.8, C18.9, C19, C20, C21.0, C21.1, C21.2, C21.8, C26.0, C7A.020, C7A.021, C7A.022, C7A.023, C7A.024, C7A.025, C7A.026, C7A.029, D01.0, D01.1, D01.2, D01.3, R85.610, R85.611, R85.612, R85.613, R85.614, R85.619",,,32991828,,MGI,
PGS000368,Source of Variant Associations (GWAS),63920.0,34869.0,29051.0,,,European,,,,,,,30510241,,,
PGS000368,Score Development/Training,25383.0,2309.0,23074.0,,,European,,UK,,"PheCode:153; ICD9:154.8; ICD10:C18.0, C18.1, C18.2, C18.3, C18.4, C18.5, C18.6, C18.7, C18.8, C18.9, C19, C20, C21.0, C21.1, C21.8, C26.0, D01.0, D01.1, D01.2, D01.3",,,32991828,,UKB,
PGS000369,Source of Variant Associations (GWAS),63920.0,34869.0,29051.0,,,European,,,,,,,30510241,,,
PGS000369,Score Development/Training,6445.0,589.0,5856.0,,,European,,USA,,"PheCode:153; ICD9CM:153.0, 153.1, 153.2, 153.3, 153.4, 153.5, 153.6, 153.7, 153.8, 153.9, 154.0, 154.1, 154.2, 154.3, 154.8, 159.0, 209.10, 209.11, 209.12, 209.13, 209.14, 209.15, 209.16, 209.17, 230.3, 230.4, 230.5, 230.6, 796.70, 796.71, 796.72, 796.73, 796.74, 796.76, V10.05, V10.06; ICD10CM:C18, C18.0, C18.1, C18.2, C18.3, C18.4, C18.5, C18.6, C18.7, C18.8, C18.9, C19, C20, C21.0, C21.1, C21.2, C21.8, C26.0, C7A.020, C7A.021, C7A.022, C7A.023, C7A.024, C7A.025, C7A.026, C7A.029, D01.0, D01.1, D01.2, D01.3, R85.610, R85.611, R85.612, R85.613, R85.614, R85.619",,,32991828,,MGI,
PGS000370,Source of Variant Associations (GWAS),63920.0,34869.0,29051.0,,,European,,,,,,,30510241,,,
PGS000370,Score Development/Training,25383.0,2309.0,23074.0,,,European,,UK,,"PheCode:153; ICD9:154.8; ICD10:C18.0, C18.1, C18.2, C18.3, C18.4, C18.5, C18.6, C18.7, C18.8, C18.9, C19, C20, C21.0, C21.1, C21.8, C26.0, D01.0, D01.1, D01.2, D01.3",,,32991828,,UKB,
PGS000371,Source of Variant Associations (GWAS),27809.0,,,,,European,,"U.S., Australia, Canada, Germany, France",,GWAS Catalog r2019-05-03 entries mapped to phecode X153,,GCST001787,23266556,,,
PGS000371,Source of Variant Associations (GWAS),17556.0,,,,,European,,"U.S., Australia, Canada, U.K.",,GWAS Catalog r2019-05-03 entries mapped to phecode X153,,GCST002919,25990418,,,
PGS000371,Source of Variant Associations (GWAS),37955.0,,,,,European,,"U.S., Israel, Australia, Canada, Germany, France",,GWAS Catalog r2019-05-03 entries mapped to phecode X153,,GCST003017,26151821,,,
PGS000371,Source of Variant Associations (GWAS),13443.0,,,,,European,,"U.S., Australia, Canada, U.K.",,GWAS Catalog r2019-05-03 entries mapped to phecode X153,,GCST002411,24737748,,,
PGS000371,Source of Variant Associations (GWAS),1890.0,,,,,European,,U.K.,,GWAS Catalog r2019-05-03 entries mapped to phecode X153,,GCST000053,17618284,,,
PGS000371,Source of Variant Associations (GWAS),1983.0,,,,,European,U.K.,U.K.,,GWAS Catalog r2019-05-03 entries mapped to phecode X153,,GCST000168,18372901,,,
PGS000371,Source of Variant Associations (GWAS),3831.0,,,,,European,,U.K.,,GWAS Catalog r2019-05-03 entries mapped to phecode X153,,GCST000270,19011631,,,
PGS000371,Source of Variant Associations (GWAS),1890.0,,,,,European,,U.K.,,GWAS Catalog r2019-05-03 entries mapped to phecode X153,,GCST000113,17934461,,,
PGS000371,Source of Variant Associations (GWAS),15783.0,,,,,European,Finnish,Finland,,GWAS Catalog r2019-05-03 entries mapped to phecode X153,,GCST004895,28960316,,,
PGS000371,Score Development/Training,25383.0,2309.0,23074.0,,,European,,UK,,"PheCode:153; ICD9:154.8; ICD10:C18.0, C18.1, C18.2, C18.3, C18.4, C18.5, C18.6, C18.7, C18.8, C18.9, C19, C20, C21.0, C21.1, C21.8, C26.0, D01.0, D01.1, D01.2, D01.3",,,32991828,,UKB,
PGS000372,Source of Variant Associations (GWAS),27809.0,,,,,European,,"U.S., Australia, Canada, Germany, France",,GWAS Catalog r2019-05-03 entries mapped to phecode X153,,GCST001787,23266556,,,
PGS000372,Source of Variant Associations (GWAS),17556.0,,,,,European,,"U.S., Australia, Canada, U.K.",,GWAS Catalog r2019-05-03 entries mapped to phecode X153,,GCST002919,25990418,,,
PGS000372,Source of Variant Associations (GWAS),37955.0,,,,,European,,"U.S., Israel, Australia, Canada, Germany, France",,GWAS Catalog r2019-05-03 entries mapped to phecode X153,,GCST003017,26151821,,,
PGS000372,Source of Variant Associations (GWAS),13443.0,,,,,European,,"U.S., Australia, Canada, U.K.",,GWAS Catalog r2019-05-03 entries mapped to phecode X153,,GCST002411,24737748,,,
PGS000372,Source of Variant Associations (GWAS),1890.0,,,,,European,,U.K.,,GWAS Catalog r2019-05-03 entries mapped to phecode X153,,GCST000053,17618284,,,
PGS000372,Source of Variant Associations (GWAS),1983.0,,,,,European,U.K.,U.K.,,GWAS Catalog r2019-05-03 entries mapped to phecode X153,,GCST000168,18372901,,,
PGS000372,Source of Variant Associations (GWAS),3831.0,,,,,European,,U.K.,,GWAS Catalog r2019-05-03 entries mapped to phecode X153,,GCST000270,19011631,,,
PGS000372,Source of Variant Associations (GWAS),1890.0,,,,,European,,U.K.,,GWAS Catalog r2019-05-03 entries mapped to phecode X153,,GCST000113,17934461,,,
PGS000372,Source of Variant Associations (GWAS),15783.0,,,,,European,Finnish,Finland,,GWAS Catalog r2019-05-03 entries mapped to phecode X153,,GCST004895,28960316,,,
PGS000372,Score Development/Training,25383.0,2309.0,23074.0,,,European,,UK,,"PheCode:153; ICD9:154.8; ICD10:C18.0, C18.1, C18.2, C18.3, C18.4, C18.5, C18.6, C18.7, C18.8, C18.9, C19, C20, C21.0, C21.1, C21.8, C26.0, D01.0, D01.1, D01.2, D01.3",,,32991828,,UKB,
PGS000373,Source of Variant Associations (GWAS),387318.0,4562.0,382756.0,,,European,,,,ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/; UKB GWAS (PheCode-based phenotype): X153,,,32424355,,,
PGS000373,Score Development/Training,6445.0,589.0,5856.0,,,European,,USA,,"PheCode:153; ICD9CM:153.0, 153.1, 153.2, 153.3, 153.4, 153.5, 153.6, 153.7, 153.8, 153.9, 154.0, 154.1, 154.2, 154.3, 154.8, 159.0, 209.10, 209.11, 209.12, 209.13, 209.14, 209.15, 209.16, 209.17, 230.3, 230.4, 230.5, 230.6, 796.70, 796.71, 796.72, 796.73, 796.74, 796.76, V10.05, V10.06; ICD10CM:C18, C18.0, C18.1, C18.2, C18.3, C18.4, C18.5, C18.6, C18.7, C18.8, C18.9, C19, C20, C21.0, C21.1, C21.2, C21.8, C26.0, C7A.020, C7A.021, C7A.022, C7A.023, C7A.024, C7A.025, C7A.026, C7A.029, D01.0, D01.1, D01.2, D01.3, R85.610, R85.611, R85.612, R85.613, R85.614, R85.619",,,32991828,,MGI,
PGS000374,Source of Variant Associations (GWAS),387318.0,4562.0,382756.0,,,European,,,,ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/; UKB GWAS (PheCode-based phenotype): X153,,,32424355,,,
PGS000374,Score Development/Training,6445.0,589.0,5856.0,,,European,,USA,,"PheCode:153; ICD9CM:153.0, 153.1, 153.2, 153.3, 153.4, 153.5, 153.6, 153.7, 153.8, 153.9, 154.0, 154.1, 154.2, 154.3, 154.8, 159.0, 209.10, 209.11, 209.12, 209.13, 209.14, 209.15, 209.16, 209.17, 230.3, 230.4, 230.5, 230.6, 796.70, 796.71, 796.72, 796.73, 796.74, 796.76, V10.05, V10.06; ICD10CM:C18, C18.0, C18.1, C18.2, C18.3, C18.4, C18.5, C18.6, C18.7, C18.8, C18.9, C19, C20, C21.0, C21.1, C21.2, C21.8, C26.0, C7A.020, C7A.021, C7A.022, C7A.023, C7A.024, C7A.025, C7A.026, C7A.029, D01.0, D01.1, D01.2, D01.3, R85.610, R85.611, R85.612, R85.613, R85.614, R85.619",,,32991828,,MGI,
PGS000375,Source of Variant Associations (GWAS),387318.0,4562.0,382756.0,,,European,,,,ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/; UKB GWAS (PheCode-based phenotype): X153,,,32424355,,,
PGS000375,Score Development/Training,6445.0,589.0,5856.0,,,European,,USA,,"PheCode:153; ICD9CM:153.0, 153.1, 153.2, 153.3, 153.4, 153.5, 153.6, 153.7, 153.8, 153.9, 154.0, 154.1, 154.2, 154.3, 154.8, 159.0, 209.10, 209.11, 209.12, 209.13, 209.14, 209.15, 209.16, 209.17, 230.3, 230.4, 230.5, 230.6, 796.70, 796.71, 796.72, 796.73, 796.74, 796.76, V10.05, V10.06; ICD10CM:C18, C18.0, C18.1, C18.2, C18.3, C18.4, C18.5, C18.6, C18.7, C18.8, C18.9, C19, C20, C21.0, C21.1, C21.2, C21.8, C26.0, C7A.020, C7A.021, C7A.022, C7A.023, C7A.024, C7A.025, C7A.026, C7A.029, D01.0, D01.1, D01.2, D01.3, R85.610, R85.611, R85.612, R85.613, R85.614, R85.619",,,32991828,,MGI,
PGS000376,Source of Variant Associations (GWAS),361194.0,2226.0,358968.0,,,European,,,,UKB GWAS (ICD10-based phenotype): C18,,,,http://www.nealelab.is/uk-biobank/,,
PGS000376,Score Development/Training,5237.0,479.0,4758.0,,,European,,USA,,"PheCode:153.2; ICD9CM:153.0, 153.1, 153.2, 153.3, 153.4, 153.5, 153.6, 153.7, 153.8, 153.9, 159.0, 209.10, 209.11, 209.12, 209.13, 209.14, 209.15, 209.16, 230.3, V10.05; ICD10CM:C18, C18.0, C18.1, C18.2, C18.3, C18.4, C18.5, C18.6, C18.7, C18.8, C18.9, C26.0, C7A.020, C7A.021, C7A.022, C7A.023, C7A.024, C7A.025, C7A.029, D01.0",,,32991828,,MGI,
PGS000377,Source of Variant Associations (GWAS),361194.0,2226.0,358968.0,,,European,,,,UKB GWAS (ICD10-based phenotype): C18,,,,http://www.nealelab.is/uk-biobank/,,
PGS000377,Score Development/Training,5237.0,479.0,4758.0,,,European,,USA,,"PheCode:153.2; ICD9CM:153.0, 153.1, 153.2, 153.3, 153.4, 153.5, 153.6, 153.7, 153.8, 153.9, 159.0, 209.10, 209.11, 209.12, 209.13, 209.14, 209.15, 209.16, 230.3, V10.05; ICD10CM:C18, C18.0, C18.1, C18.2, C18.3, C18.4, C18.5, C18.6, C18.7, C18.8, C18.9, C26.0, C7A.020, C7A.021, C7A.022, C7A.023, C7A.024, C7A.025, C7A.029, D01.0",,,32991828,,MGI,
PGS000378,Source of Variant Associations (GWAS),361194.0,2437.0,358757.0,,,European,,,,UKB GWAS (FINNGEN-based phenotype): C3_COLON,,,,http://www.nealelab.is/uk-biobank,,
PGS000378,Score Development/Training,5237.0,479.0,4758.0,,,European,,USA,,"PheCode:153.2; ICD9CM:153.0, 153.1, 153.2, 153.3, 153.4, 153.5, 153.6, 153.7, 153.8, 153.9, 159.0, 209.10, 209.11, 209.12, 209.13, 209.14, 209.15, 209.16, 230.3, V10.05; ICD10CM:C18, C18.0, C18.1, C18.2, C18.3, C18.4, C18.5, C18.6, C18.7, C18.8, C18.9, C26.0, C7A.020, C7A.021, C7A.022, C7A.023, C7A.024, C7A.025, C7A.029, D01.0",,,32991828,,MGI,
PGS000379,Source of Variant Associations (GWAS),361194.0,2437.0,358757.0,,,European,,,,UKB GWAS (FINNGEN-based phenotype): C3_COLON,,,,http://www.nealelab.is/uk-biobank,,
PGS000379,Score Development/Training,5237.0,479.0,4758.0,,,European,,USA,,"PheCode:153.2; ICD9CM:153.0, 153.1, 153.2, 153.3, 153.4, 153.5, 153.6, 153.7, 153.8, 153.9, 159.0, 209.10, 209.11, 209.12, 209.13, 209.14, 209.15, 209.16, 230.3, V10.05; ICD10CM:C18, C18.0, C18.1, C18.2, C18.3, C18.4, C18.5, C18.6, C18.7, C18.8, C18.9, C26.0, C7A.020, C7A.021, C7A.022, C7A.023, C7A.024, C7A.025, C7A.029, D01.0",,,32991828,,MGI,
PGS000380,Source of Variant Associations (GWAS),385807.0,3051.0,382756.0,,,European,,,,ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/; UKB GWAS (PheCode-based phenotype): X153.2,,,32424355,,,
PGS000380,Score Development/Training,5237.0,479.0,4758.0,,,European,,USA,,"PheCode:153.2; ICD9CM:153.0, 153.1, 153.2, 153.3, 153.4, 153.5, 153.6, 153.7, 153.8, 153.9, 159.0, 209.10, 209.11, 209.12, 209.13, 209.14, 209.15, 209.16, 230.3, V10.05; ICD10CM:C18, C18.0, C18.1, C18.2, C18.3, C18.4, C18.5, C18.6, C18.7, C18.8, C18.9, C26.0, C7A.020, C7A.021, C7A.022, C7A.023, C7A.024, C7A.025, C7A.029, D01.0",,,32991828,,MGI,
PGS000381,Source of Variant Associations (GWAS),385807.0,3051.0,382756.0,,,European,,,,ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/; UKB GWAS (PheCode-based phenotype): X153.2,,,32424355,,,
PGS000381,Score Development/Training,5237.0,479.0,4758.0,,,European,,USA,,"PheCode:153.2; ICD9CM:153.0, 153.1, 153.2, 153.3, 153.4, 153.5, 153.6, 153.7, 153.8, 153.9, 159.0, 209.10, 209.11, 209.12, 209.13, 209.14, 209.15, 209.16, 230.3, V10.05; ICD10CM:C18, C18.0, C18.1, C18.2, C18.3, C18.4, C18.5, C18.6, C18.7, C18.8, C18.9, C26.0, C7A.020, C7A.021, C7A.022, C7A.023, C7A.024, C7A.025, C7A.029, D01.0",,,32991828,,MGI,
PGS000382,Source of Variant Associations (GWAS),385807.0,3051.0,382756.0,,,European,,,,ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/; UKB GWAS (PheCode-based phenotype): X153.2,,,32424355,,,
PGS000382,Score Development/Training,5237.0,479.0,4758.0,,,European,,USA,,"PheCode:153.2; ICD9CM:153.0, 153.1, 153.2, 153.3, 153.4, 153.5, 153.6, 153.7, 153.8, 153.9, 159.0, 209.10, 209.11, 209.12, 209.13, 209.14, 209.15, 209.16, 230.3, V10.05; ICD10CM:C18, C18.0, C18.1, C18.2, C18.3, C18.4, C18.5, C18.6, C18.7, C18.8, C18.9, C26.0, C7A.020, C7A.021, C7A.022, C7A.023, C7A.024, C7A.025, C7A.029, D01.0",,,32991828,,MGI,
PGS000383,Source of Variant Associations (GWAS),361194.0,498.0,360696.0,,,European,,,,UKB GWAS (ICD10-based phenotype): C19,,,,http://www.nealelab.is/uk-biobank/,,
PGS000383,Score Development/Training,3775.0,344.0,3431.0,,,European,,USA,,"PheCode:153.3; ICD9CM:154.0, 154.1, 154.2, 154.3, 209.17, 230.4, 230.5, 230.6, 796.70, 796.71, 796.72, 796.73, 796.74, 796.76, V10.06; ICD10CM:C19, C20, C21.0, C21.1, C7A.026, D01.1, D01.2, D01.3, R85.610, R85.611, R85.612, R85.613, R85.614, R85.619",,,32991828,,MGI,
PGS000384,Source of Variant Associations (GWAS),361194.0,1170.0,360024.0,,,European,,,,UKB GWAS (FINNGEN-based phenotype): C3_RECTUM,,,,http://www.nealelab.is/uk-biobank,,
PGS000384,Score Development/Training,3775.0,344.0,3431.0,,,European,,USA,,"PheCode:153.3; ICD9CM:154.0, 154.1, 154.2, 154.3, 209.17, 230.4, 230.5, 230.6, 796.70, 796.71, 796.72, 796.73, 796.74, 796.76, V10.06; ICD10CM:C19, C20, C21.0, C21.1, C7A.026, D01.1, D01.2, D01.3, R85.610, R85.611, R85.612, R85.613, R85.614, R85.619",,,32991828,,MGI,
PGS000385,Source of Variant Associations (GWAS),21536.0,,,,,European,,NR,,GWAS Catalog r2019-05-03 entries mapped to phecode X157,,GCST005434,29422604,,,
PGS000385,Source of Variant Associations (GWAS),13952.0,,,,,European,,NR,,GWAS Catalog r2019-05-03 entries mapped to phecode X157,,GCST003758,27579533,,,
PGS000385,Source of Variant Associations (GWAS),642.0,,,,,European,,U.S.,,GWAS Catalog r2019-05-03 entries mapped to phecode X157,,GCST001749,23180869,,,
PGS000385,Source of Variant Associations (GWAS),6785.0,,,,,European,,"Finland, Sweden, U.S., Australia, Italy, Netherlands, Greece, Germany, U.K., Spain, France, Norway, Denmark",,GWAS Catalog r2019-05-03 entries mapped to phecode X157,,GCST002553,25086665,,,
PGS000385,Source of Variant Associations (GWAS),3576.0,,,,,European,,"Finland, U.S.",,GWAS Catalog r2019-05-03 entries mapped to phecode X157,,GCST000456,19648918,,,
PGS000385,Score Development/Training,3650.0,332.0,3318.0,,,European,,UK,,"PheCode:157; ICD9:157, 157.0, 157.1, 157.2, 157.3, 157.4, 157.8, 157.9; ICD10:C25.0, C25.1, C25.2, C25.3, C25.4, C25.7, C25.8, C25.9",,,32991828,,UKB,
PGS000386,Source of Variant Associations (GWAS),21536.0,,,,,European,,NR,,GWAS Catalog r2019-05-03 entries mapped to phecode X157,,GCST005434,29422604,,,
PGS000386,Source of Variant Associations (GWAS),13952.0,,,,,European,,NR,,GWAS Catalog r2019-05-03 entries mapped to phecode X157,,GCST003758,27579533,,,
PGS000386,Source of Variant Associations (GWAS),642.0,,,,,European,,U.S.,,GWAS Catalog r2019-05-03 entries mapped to phecode X157,,GCST001749,23180869,,,
PGS000386,Source of Variant Associations (GWAS),6785.0,,,,,European,,"Finland, Sweden, U.S., Australia, Italy, Netherlands, Greece, Germany, U.K., Spain, France, Norway, Denmark",,GWAS Catalog r2019-05-03 entries mapped to phecode X157,,GCST002553,25086665,,,
PGS000386,Source of Variant Associations (GWAS),3576.0,,,,,European,,"Finland, U.S.",,GWAS Catalog r2019-05-03 entries mapped to phecode X157,,GCST000456,19648918,,,
PGS000386,Score Development/Training,3650.0,332.0,3318.0,,,European,,UK,,"PheCode:157; ICD9:157, 157.0, 157.1, 157.2, 157.3, 157.4, 157.8, 157.9; ICD10:C25.0, C25.1, C25.2, C25.3, C25.4, C25.7, C25.8, C25.9",,,32991828,,UKB,
PGS000387,Source of Variant Associations (GWAS),408926.0,2700.0,406226.0,,,European,,,,ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/; UKB GWAS (PheCode-based phenotype): X165,,,32424355,,,
PGS000387,Score Development/Training,5163.0,470.0,4693.0,,,European,,USA,,"PheCode:165; ICD9CM:162.0, 162.2, 162.3, 162.4, 162.5, 162.8, 162.9, 163.0, 163.1, 163.8, 163.9, 165.0, 165.8, 165.9, 209.21, 231.1, 231.2, 231.8, 231.9, V10.11, V10.12, V10.20, V10.29; ICD10CM:C33, C34, C34.0, C34.00, C34.01, C34.02, C34.1, C34.10, C34.11, C34.12, C34.2, C34.3, C34.30, C34.31, C34.32, C34.8, C34.80, C34.81, C34.82, C34.9, C34.90, C34.91, C34.92, C38.4, C39, C39.0, C39.9, C45.0, C7A.090, D02.1, D02.2, D02.20, D02.21, D02.22, D02.3, D02.4",,,32991828,,MGI,
PGS000388,Source of Variant Associations (GWAS),361194.0,1681.0,359513.0,,,European,,,,UKB GWAS (FINNGEN-based phenotype): C3_BRONCHUS_LUNG,,,,http://www.nealelab.is/uk-biobank,,
PGS000388,Source of Variant Associations (GWAS),361194.0,2007.0,359187.0,,,European,,,,UKB GWAS (FINNGEN-based phenotype): LUNG_CANCER,,,,http://www.nealelab.is/uk-biobank,,
PGS000388,Source of Variant Associations (GWAS),361194.0,2007.0,359187.0,,,European,,,,UKB GWAS (FINNGEN-based phenotype): LUNG_CANCER_MESOT,,,,http://www.nealelab.is/uk-biobank,,
PGS000388,Score Development/Training,4900.0,446.0,4454.0,,,European,,USA,,"PheCode:165.1; ICD9CM:162.0, 162.2, 162.3, 162.4, 162.5, 162.8, 162.9, 209.21, 231.2, V10.11; ICD10CM:C33, C34, C34.0, C34.00, C34.01, C34.02, C34.1, C34.10, C34.11, C34.12, C34.2, C34.3, C34.30, C34.31, C34.32, C34.8, C34.80, C34.81, C34.82, C34.9, C34.90, C34.91, C34.92, C7A.090, D02.2, D02.20, D02.21, D02.22",,,32991828,,MGI,
PGS000389,Source of Variant Associations (GWAS),40187.0,,,,,European,,"U.S., France, Germany, Netherlands, Israel, Denmark, Finland, Iceland, Norway, Sweden, U.K., Greece, Italy, Spain, NR, Canada",,GWAS Catalog r2019-05-03 entries mapped to phecode X165.1,,GCST004749,28604730,,,
PGS000389,Source of Variant Associations (GWAS),63053.0,,,,,European,,"Canada, U.S., France, Germany, Netherlands, Israel, Denmark, Finland, Iceland, Norway, Sweden, U.K., Greece, Italy, Spain, NR",,GWAS Catalog r2019-05-03 entries mapped to phecode X165.1,,GCST004750,28604730,,,
PGS000389,Source of Variant Associations (GWAS),66756.0,,,,,European,,"Canada, U.S., France, Germany, Netherlands, Israel, Denmark, Finland, Iceland, Norway, Sweden, U.K., Greece, Italy, Spain, NR",,GWAS Catalog r2019-05-03 entries mapped to phecode X165.1,,GCST004744,28604730,,,
PGS000389,Source of Variant Associations (GWAS),85716.0,,,,,European,,"Canada, U.S., France, Germany, Netherlands, Israel, Denmark, Finland, Iceland, Norway, Sweden, U.K., Greece, Italy, Spain, NR",,GWAS Catalog r2019-05-03 entries mapped to phecode X165.1,,GCST004748,28604730,,,
PGS000389,Source of Variant Associations (GWAS),9859.0,,,,,European,,"Canada, U.S., France, Germany, Netherlands, Israel, Denmark, Finland, Iceland, Norway, Sweden, U.K., Greece, Italy, Spain, NR",,GWAS Catalog r2019-05-03 entries mapped to phecode X165.1,,GCST004747,28604730,,,
PGS000389,Source of Variant Associations (GWAS),31930.0,,,,,European,,"Canada, U.S., Iceland, Italy, NR",,GWAS Catalog r2019-05-03 entries mapped to phecode X165.1,,GCST006088,29924316,,,
PGS000389,Source of Variant Associations (GWAS),32338.0,,,,,European,,"Canada, U.S., Iceland, Italy, NR",,GWAS Catalog r2019-05-03 entries mapped to phecode X165.1,,GCST006087,29924316,,,
PGS000389,Source of Variant Associations (GWAS),35953.0,,,,,European,,"Canada, U.S., Iceland, Italy, NR",,GWAS Catalog r2019-05-03 entries mapped to phecode X165.1,,GCST006086,29924316,,,
PGS000389,Source of Variant Associations (GWAS),24108.0,,,,,European,,"Canada, U.S., France, Germany, Netherlands, Israel, Denmark, Finland, Iceland, Norway, Sweden, U.K., Greece, Italy, Spain, NR",,GWAS Catalog r2019-05-03 entries mapped to phecode X165.1,,GCST004746,28604730,,,
PGS000389,Source of Variant Associations (GWAS),27209.0,,,,,European,,"Finland, U.S., Poland, Czech Republic, Italy, Russian Federation, Romania, U.K., Estonia, Hungary, Slovakia, France, Norway",,GWAS Catalog r2019-05-03 entries mapped to phecode X165.1,,GCST002466,24880342,,,
PGS000389,Source of Variant Associations (GWAS),11587.0,,,,,European,,"Finland, U.S., Italy",,GWAS Catalog r2019-05-03 entries mapped to phecode X165.1,,GCST000506,19836008,,,
PGS000389,Score Development/Training,4900.0,446.0,4454.0,,,European,,USA,,"PheCode:165.1; ICD9CM:162.0, 162.2, 162.3, 162.4, 162.5, 162.8, 162.9, 209.21, 231.2, V10.11; ICD10CM:C33, C34, C34.0, C34.00, C34.01, C34.02, C34.1, C34.10, C34.11, C34.12, C34.2, C34.3, C34.30, C34.31, C34.32, C34.8, C34.80, C34.81, C34.82, C34.9, C34.90, C34.91, C34.92, C7A.090, D02.2, D02.20, D02.21, D02.22",,,32991828,,MGI,
